780	1.0	8.46	3.59
790	1.0	9.57	3.79
800	1.0	10.67	3.99
800	2.0	13.64	5.8
810	1.0	11.73	4.32
810	2.0	12.09	5.75
820	1.0	12.81	4.61
820	2.0	11.37	5.8
830	2.0	10.31	5.97
830	3.0	12.49	6.6
840	2.0	9.57	6.24
840	3.0	11.94	6.77
850	2.0	8.73	6.34
850	3.0	11.03	6.84
850	4.0	-1.32	5.11
850	5.0	-1.48	4.43
850	6.0	11.84	5.82
860	2.0	7.94	6.5
860	3.0	10.21	6.81
860	4.0	-0.33	5.06
860	5.0	-0.49	4.38
860	6.0	10.91	5.92
870	2.0	7.17	6.62
870	3.0	9.36	6.85
870	4.0	0.76	5.0
870	5.0	0.6	4.23
870	6.0	10.0	5.89
880	2.0	6.47	6.68
880	3.0	8.59	6.85
880	4.0	1.76	4.89
880	5.0	1.6	4.13
880	6.0	9.09	6.02
890	2.0	5.86	6.82
890	3.0	7.78	6.84
890	4.0	2.81	4.83
890	5.0	2.67	4.07
890	6.0	8.23	6.04
900	2.0	5.24	6.98
900	3.0	6.96	6.84
900	4.0	3.8	4.77
900	5.0	3.7	4.02
900	6.0	7.4	6.15
910	2.0	4.87	7.16
910	3.0	6.29	7.0
910	4.0	4.97	4.69
910	5.0	4.75	4.04
910	6.0	6.52	6.15
920	2.0	4.51	7.58
920	3.0	5.62	7.1
920	4.0	5.97	4.7
920	5.0	5.76	4.06
920	6.0	5.7	6.21
930	2.0	4.2	7.3
930	3.0	5.06	7.04
930	4.0	6.97	4.67
930	5.0	6.76	4.04
930	6.0	4.96	6.1
930	7.0	12.09	5.87
940	2.0	3.95	7.71
940	3.0	4.69	7.0
940	4.0	8.12	4.95
940	5.0	7.82	4.17
940	6.0	4.08	6.2
940	7.0	10.75	6.0
950	2.0	3.47	7.86
950	3.0	4.35	7.01
950	4.0	9.11	5.01
950	5.0	8.85	4.21
950	6.0	3.31	6.2
950	7.0	9.48	6.07
950	8.0	-2.48	-0.22
960	2.0	2.82	8.0
960	3.0	3.76	6.99
960	4.0	10.12	5.13
960	5.0	9.93	4.29
960	6.0	2.71	6.39
960	7.0	8.15	5.86
960	8.0	-1.67	0.53
970	2.0	2.01	8.0
970	3.0	3.19	6.89
970	4.0	11.01	5.32
970	5.0	10.82	4.49
970	6.0	2.13	6.29
970	7.0	6.86	5.83
970	8.0	-0.93	0.96
980	2.0	1.28	7.82
980	3.0	2.62	7.13
980	4.0	11.93	5.47
980	5.0	11.75	4.36
980	6.0	1.52	6.17
980	7.0	5.62	5.66
980	8.0	-0.14	1.5
990	2.0	0.54	7.4
990	3.0	1.78	7.15
990	6.0	0.9	6.12
990	7.0	4.31	5.44
990	8.0	0.82	1.83
1000	2.0	-0.18	7.06
1000	3.0	1.01	6.96
1000	6.0	0.48	6.01
